Wolf, Bob, 4, true, gray, Eurasia
Tiger, Ivan, 4, true, yellow, Eurasia
Bear, John, 4, true, black, North America
Pinguin, James, 2, false, black, Antarctica
Kangaroo, Peter, 2, false, yellow, Australia
Wolf, Arnold, 4, true, gray, Eurasia
Tiger, Petr, 4, true, white, Eurasia
Bear, Rayan, 4, true, white, Antarctica
Pinguin, Ben, 2, false, gray, Antarctica
Kangaroo, Tom, 2, false, yellow, Australia
Wolf, Trent, 4, true, white, North America
Tiger, Andy, 4, true, yellow, Eurasia
Bear, Jordan, 4, true, gray, South America
Pinguin, Emil, 2, false, black, Antarctica
Kangaroo, Alex, 2, false, yellow, Australia
